,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
256,218,Pete Myers,SG,25,TOT,33,0,8.2,0.9,2.2,0.425,0.0,0.1,0.0,0.9,2.2,0.437,0.425,1.0,1.5,0.688,0.5,0.5,1.0,1.5,0.6,0.1,0.7,1.3,2.9,myerspe01,1988-89
257,218,Pete Myers,SG,25,PHI,4,0,10.0,1.5,3.0,0.5,0.0,0.0,,1.5,3.0,0.5,0.5,0.5,1.0,0.5,0.8,1.8,2.5,0.5,0.8,0.0,1.0,0.8,3.5,myerspe01,1988-89
258,218,Pete Myers,SG,25,NYK,29,0,7.9,0.9,2.1,0.41,0.0,0.1,0.0,0.9,2.0,0.424,0.41,1.1,1.5,0.705,0.4,0.4,0.8,1.6,0.6,0.1,0.7,1.4,2.8,myerspe01,1988-89
259,219,Larry Nance,PF,29,CLE,73,72,34.6,6.8,12.6,0.539,0.0,0.1,0.0,6.8,12.5,0.541,0.539,3.7,4.6,0.799,2.1,5.8,8.0,2.2,0.8,2.8,1.6,2.5,17.2,nancela01,1988-89
260,220,Calvin Natt,SF,32,TOT,24,0,14.7,2.0,4.8,0.405,0.0,0.0,0.0,2.0,4.8,0.409,0.405,2.4,3.3,0.722,1.2,2.1,3.3,0.8,0.3,0.1,1.3,1.3,6.3,nattca01,1988-89
261,220,Calvin Natt,SF,32,DEN,14,0,12.0,1.6,3.6,0.44,0.0,0.1,0.0,1.6,3.5,0.449,0.44,1.6,2.2,0.71,0.9,2.4,3.3,0.5,0.4,0.1,0.8,0.9,4.7,nattca01,1988-89
262,220,Calvin Natt,SF,32,SAS,10,0,18.5,2.5,6.6,0.379,0.0,0.0,,2.5,6.6,0.379,0.379,3.5,4.8,0.729,1.6,1.6,3.2,1.1,0.2,0.2,1.9,1.9,8.5,nattca01,1988-89
263,221,Craig Neal,PG,24,TOT,53,0,9.4,0.8,2.3,0.366,0.2,0.6,0.294,0.7,1.7,0.393,0.407,0.3,0.4,0.609,0.1,0.4,0.5,2.2,0.5,0.1,1.0,1.3,2.2,nealcr01,1988-89
264,221,Craig Neal,PG,24,POR,21,0,7.6,0.5,1.7,0.314,0.1,0.4,0.222,0.4,1.2,0.346,0.343,0.0,0.1,0.5,0.1,0.4,0.5,1.5,0.4,0.0,0.7,1.1,1.2,nealcr01,1988-89
265,221,Craig Neal,PG,24,MIA,32,0,10.7,1.1,2.8,0.386,0.3,0.8,0.32,0.8,2.0,0.413,0.432,0.4,0.7,0.619,0.1,0.4,0.6,2.7,0.5,0.1,1.3,1.4,2.8,nealcr01,1988-89
266,222,Ed Nealy,PF,28,TOT,43,0,6.0,0.3,0.8,0.361,0.0,0.0,0.0,0.3,0.8,0.382,0.361,0.1,0.2,0.444,0.5,1.3,1.8,0.3,0.2,0.0,0.2,1.0,0.7,nealyed01,1988-89
267,222,Ed Nealy,PF,28,CHI,13,0,7.2,0.4,0.5,0.714,0.0,0.0,,0.4,0.5,0.714,0.714,0.1,0.2,0.5,0.3,1.5,1.8,0.5,0.2,0.1,0.1,1.8,0.8,nealyed01,1988-89
268,222,Ed Nealy,PF,28,PHO,30,0,5.5,0.3,1.0,0.276,0.0,0.1,0.0,0.3,0.9,0.296,0.276,0.1,0.2,0.429,0.6,1.2,1.8,0.3,0.1,0.0,0.2,0.7,0.6,nealyed01,1988-89
269,223,Chuck Nevitt,C,29,HOU,43,0,5.3,0.6,1.4,0.435,0.0,0.0,,0.6,1.4,0.435,0.435,0.3,0.4,0.688,0.4,1.1,1.5,0.1,0.1,0.7,0.5,1.2,1.5,nevitch01,1988-89
270,224,Johnny Newman,SF,25,NYK,81,80,28.8,5.6,11.8,0.475,1.2,3.5,0.338,4.4,8.3,0.534,0.526,3.5,4.3,0.815,1.1,1.4,2.5,2.0,1.4,0.3,1.9,3.2,16.0,newmajo01,1988-89
271,225,Norm Nixon,PG,33,LAC,53,30,24.9,2.9,7.0,0.414,0.2,0.5,0.276,2.7,6.4,0.425,0.424,0.9,1.2,0.738,0.2,1.2,1.5,6.4,0.9,0.0,2.2,1.3,6.8,nixonno01,1988-89
272,226,Ken Norman,SF,24,LAC,80,79,37.8,8.0,15.9,0.502,0.1,0.3,0.19,7.9,15.6,0.507,0.504,2.1,3.4,0.63,3.1,5.3,8.3,3.5,1.3,0.8,2.6,2.8,18.1,normake01,1988-89
273,227,Charles Oakley,PF,25,NYK,82,82,31.8,5.2,10.2,0.51,0.1,0.6,0.25,5.0,9.6,0.526,0.517,2.4,3.1,0.773,4.2,6.3,10.5,2.3,1.3,0.2,3.0,3.3,12.9,oaklech01,1988-89
274,228,Hakeem Olajuwon*,C,26,HOU,82,82,36.9,9.6,19.0,0.508,0.0,0.1,0.0,9.6,18.9,0.511,0.508,5.5,8.0,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,olajuha01,1988-89
275,229,José Ortiz,PF,25,UTA,51,15,6.4,1.1,2.5,0.44,0.0,0.0,0.0,1.1,2.4,0.444,0.44,0.6,1.0,0.596,0.6,0.5,1.1,0.2,0.2,0.1,0.7,0.8,2.8,ortizjo01,1988-89
276,230,Robert Parish*,C,35,BOS,80,80,35.5,7.5,13.1,0.57,0.0,0.0,,7.5,13.1,0.57,0.57,3.7,5.1,0.719,4.3,8.2,12.5,2.2,1.0,1.5,2.5,2.6,18.6,parisro01,1988-89
277,231,Jim Paxson,PG,31,BOS,57,7,20.0,3.5,7.8,0.454,0.1,0.4,0.167,3.5,7.4,0.47,0.458,1.5,1.8,0.816,0.3,1.0,1.3,1.9,0.7,0.1,1.0,1.7,8.6,paxsoji02,1988-89
278,232,John Paxson,PG,28,CHI,78,20,22.3,3.2,6.6,0.48,0.6,1.7,0.331,2.6,4.9,0.532,0.522,0.4,0.5,0.861,0.2,1.0,1.2,3.9,0.7,0.1,0.9,2.1,7.3,paxsojo01,1988-89
279,233,Will Perdue,C,23,CHI,30,0,6.3,1.0,2.4,0.403,0.0,0.0,,1.0,2.4,0.403,0.403,0.3,0.5,0.571,0.6,0.9,1.5,0.4,0.1,0.2,0.5,1.3,2.2,perduwi01,1988-89
280,234,Sam Perkins,PF,27,DAL,78,77,36.7,5.7,12.3,0.464,0.1,0.5,0.184,5.6,11.8,0.476,0.468,3.5,4.2,0.833,3.0,5.8,8.8,1.6,1.0,1.2,1.8,2.9,15.0,perkisa01,1988-89
281,235,Tim Perry,C,23,PHO,62,15,9.9,1.7,3.2,0.537,0.0,0.1,0.25,1.7,3.2,0.543,0.54,0.6,1.0,0.615,1.0,1.1,2.1,0.3,0.3,0.5,0.6,0.8,4.1,perryti01,1988-89
282,236,Chuck Person,SF,24,IND,80,79,37.7,8.9,18.2,0.489,0.8,2.6,0.307,8.1,15.6,0.519,0.511,3.0,3.8,0.792,1.8,4.7,6.5,3.6,1.0,0.2,3.9,3.5,21.6,persoch01,1988-89
283,237,Jim Petersen,C,26,SAC,66,40,24.7,4.2,9.2,0.459,0.0,0.1,0.0,4.2,9.1,0.465,0.459,1.7,2.3,0.747,1.8,4.4,6.3,1.2,0.7,1.0,2.2,3.6,10.2,peterji01,1988-89
284,238,Ricky Pierce,SG,29,MIL,75,4,27.7,7.0,13.6,0.518,0.1,0.5,0.222,6.9,13.1,0.529,0.522,3.4,4.0,0.859,1.1,1.5,2.6,2.1,1.0,0.3,1.5,2.6,17.6,piercri01,1988-89
285,239,Ed Pinckney,PF,25,TOT,80,33,25.2,4.0,7.8,0.513,0.0,0.1,0.0,4.0,7.7,0.518,0.513,3.5,4.4,0.8,2.1,3.5,5.6,1.5,1.0,0.8,1.5,2.5,11.5,pincked01,1988-89
286,239,Ed Pinckney,PF,25,SAC,51,24,26.2,4.4,8.7,0.502,0.0,0.1,0.0,4.4,8.6,0.509,0.502,3.5,4.3,0.801,2.1,3.8,5.9,1.5,1.1,0.8,1.6,2.5,12.3,pincked01,1988-89
287,239,Ed Pinckney,PF,25,BOS,29,9,23.4,3.3,6.1,0.54,0.0,0.0,,3.3,6.1,0.54,0.54,3.6,4.4,0.798,2.1,3.0,5.1,1.5,1.0,0.8,1.3,2.7,10.1,pincked01,1988-89
288,240,Scottie Pippen*,SF,23,CHI,73,56,33.1,5.7,11.9,0.476,0.3,1.1,0.273,5.4,10.8,0.496,0.488,2.8,4.1,0.668,1.9,4.2,6.1,3.5,1.9,0.8,2.7,3.6,14.4,pippesc01,1988-89
